
complaint_datetime  closure_datetime  total_hours
  01JUN23:11:30:20  01JUN23:16:07:25            5
  02JUN23:11:32:09  07JUN23:12:11:19           17
  03JUN23:11:11:12  06JUN23:13:41:45            4
  04JUN23:10:26:44  06JUN23:16:21:45            7
  05JUN23:11:30:21  08JUN23:13:35:28           20
  06JUN23:09:24:45  12JUN23:13:00:27           36
  07JUN23:09:46:58  09JUN23:12:14:43           19
  08JUN23:09:34:43  12JUN23:14:36:37           21
  09JUN23:09:03:00  13JUN23:13:16:54           20
  10JUN23:11:42:20  15JUN23:12:50:46           27

