
    flagged_date     reviewed_date  total_hours
27MAY22:02:42:39  02JUN22:15:35:52           39
28MAY22:06:29:19  03JUN22:09:18:06           33
29MAY22:10:15:59  03JUN22:11:42:48           35
30MAY22:14:02:39  02JUN22:15:58:48           25
31MAY22:17:49:19  07JUN22:11:32:44           27
01JUN22:21:35:59  02JUN22:10:36:43            2
03JUN22:01:22:39  07JUN22:09:23:34            9
04JUN22:05:09:19  07JUN22:13:10:35            5
05JUN22:08:55:59  07JUN22:11:03:03            3
06JUN22:12:42:39  13JUN22:10:21:13           34
07JUN22:16:29:19  09JUN22:13:33:16           13
08JUN22:20:15:59  14JUN22:13:57:14           29
10JUN22:00:02:39  14JUN22:15:10:03           23
11JUN22:03:49:19  13JUN22:14:00:07            6
12JUN22:07:35:59  16JUN22:14:47:38           30
13JUN22:11:22:39  17JUN22:13:50:06           34
14JUN22:15:09:19  16JUN22:14:21:52           15
15JUN22:18:55:59  15JUN22:12:58:06            4
16JUN22:22:42:39  17JUN22:09:04:41            1
18JUN22:02:29:19  23JUN22:10:29:07           26

